		Jaccard	Semantic	event
HOG:0003270	HOG:0003084	1.0	85.04920936397006	3123-duplication-presence
HOG:0003270	HOG:0003123	1.0	111.08718420495302	3123-duplication-presence
HOG:0003270	HOG:0003166	1.0	180.72956989843644	3123-duplication-presence
HOG:0003270	HOG:0003270	1.0	166.20672508029637	3123-duplication-presence
HOG:0003270	HOG:0003274	1.0	15.336742672191324	3123-duplication-presence
HOG:0003270	HOG:0003361	1.0	85.04920936397006	3123-duplication-presence
HOG:0003270	HOG:0003441	1.0	85.04920936397006	3123-duplication-presence
HOG:0003270	HOG:0003515	1.0	15.336742672191324	3123-duplication-presence
HOG:0003274	HOG:0002813	1.0	184.3388131984035	3123-duplication-presence
HOG:0003274	HOG:0002855	1.0	88.22206244703926	3123-duplication-presence
HOG:0003274	HOG:0003084	1.0	113.00329525109936	3123-duplication-presence
HOG:0003274	HOG:0003123	1.0	121.55033996725604	3123-duplication-presence
HOG:0003274	HOG:0003166	1.0	187.79396437664238	3123-duplication-presence
HOG:0003274	HOG:0003270	1.0	102.47732603691476	3123-duplication-presence
HOG:0003274	HOG:0003274	1.0	45.42742511728136	3123-duplication-presence
HOG:0003274	HOG:0003361	1.0	109.15612926519341	3123-duplication-presence
HOG:0003274	HOG:0003441	1.0	97.12969835136093	3123-duplication-presence
HOG:0003274	HOG:0003515	1.0	17.515191505983115	3123-duplication-presence
HOG:0003361	HOG:0002813	1.0	183.28918270362823	3123-duplication-presence
HOG:0003361	HOG:0002855	1.0	88.22206244703926	3123-duplication-presence
HOG:0003361	HOG:0003084	1.0	214.35100739170667	3123-duplication-presence
HOG:0003361	HOG:0003123	1.0	119.77547697793536	3123-duplication-presence
HOG:0003361	HOG:0003166	1.0	184.29902961688921	3123-duplication-presence
HOG:0003361	HOG:0003270	1.0	102.47732603691476	3123-duplication-presence
HOG:0003361	HOG:0003274	1.0	19.683892162575862	3123-duplication-presence
HOG:0003361	HOG:0003361	1.0	142.16946414278706	3123-duplication-presence
HOG:0003361	HOG:0003441	1.0	95.08048745517362	3123-duplication-presence
HOG:0003361	HOG:0003515	1.0	17.145661672244422	3123-duplication-presence
HOG:0003441	HOG:0002813	1.0	194.47306449736357	3123-duplication-presence
HOG:0003441	HOG:0002855	1.0	88.22206244703926	3123-duplication-presence
HOG:0003441	HOG:0003084	1.0	97.12969835136093	3123-duplication-presence
HOG:0003441	HOG:0003123	1.0	171.83009761692134	3123-duplication-presence
HOG:0003441	HOG:0003166	1.0	212.4954497010304	3123-duplication-presence
HOG:0003441	HOG:0003270	1.0	102.47732603691476	3123-duplication-presence
HOG:0003441	HOG:0003274	1.0	17.51519150598312	3123-duplication-presence
HOG:0003441	HOG:0003361	1.0	95.08048745517362	3123-duplication-presence
HOG:0003441	HOG:0003441	1.0	186.79814680727242	3123-duplication-presence
HOG:0003441	HOG:0003515	1.0	20.534475416800372	3123-duplication-presence
HOG:0003515	HOG:0002813	1.0	211.4185978547736	3123-duplication-presence
HOG:0003515	HOG:0002855	1.0	103.96474592392995	3123-duplication-presence
HOG:0003515	HOG:0003084	1.0	97.12969835136093	3123-duplication-presence
HOG:0003515	HOG:0003123	1.0	136.23519752045448	3123-duplication-presence
HOG:0003515	HOG:0003166	1.0	219.61830651363684	3123-duplication-presence
HOG:0003515	HOG:0003270	1.0	102.47732603691476	3123-duplication-presence
HOG:0003515	HOG:0003274	1.0	17.515191505983115	3123-duplication-presence
HOG:0003515	HOG:0003361	1.0	95.08048745517362	3123-duplication-presence
HOG:0003515	HOG:0003441	1.0	113.87300003862025	3123-duplication-presence
HOG:0003515	HOG:0003515	1.0	22.576896757548624	3123-duplication-presence
HOG:0003123	HOG:0003123	1.0	279.77387146097425	3123-duplication
HOG:0002813	HOG:0002813	1.0	406.85006704469754	3123-presence
HOG:0002813	HOG:0002855	1.0	149.1071052063028	3123-presence
HOG:0002813	HOG:0003084	1.0	120.14849837939002	3123-presence
HOG:0002813	HOG:0003123	1.0	131.46246286273487	3123-presence
HOG:0002813	HOG:0003166	1.0	231.6331668422012	3123-presence
HOG:0002813	HOG:0003270	1.0	102.47732603691476	3123-presence
HOG:0002813	HOG:0003274	1.0	16.079006621297225	3123-presence
HOG:0002813	HOG:0003361	1.0	88.22085841960944	3123-presence
HOG:0002813	HOG:0003441	1.0	108.52874097360676	3123-presence
HOG:0002813	HOG:0003515	1.0	20.808444260147425	3123-presence
HOG:0002855	HOG:0002813	1.0	289.61220372765854	3123-presence
HOG:0002855	HOG:0002855	1.0	276.2849391444711	3123-presence
HOG:0002855	HOG:0003084	1.0	88.22206244703926	3123-presence
HOG:0002855	HOG:0003123	1.0	125.27666024917666	3123-presence
HOG:0002855	HOG:0003166	1.0	286.91063457513377	3123-presence
HOG:0002855	HOG:0003270	1.0	102.47732603691476	3123-presence
HOG:0002855	HOG:0003274	1.0	15.908896506843146	3123-presence
HOG:0002855	HOG:0003361	1.0	88.22206244703926	3123-presence
HOG:0002855	HOG:0003441	1.0	88.22206244703926	3123-presence
HOG:0002855	HOG:0003515	1.0	18.747741068249663	3123-presence
HOG:0003084	HOG:0002813	1.0	211.88611921738766	3123-presence
HOG:0003084	HOG:0002855	1.0	88.22206244703926	3123-presence
HOG:0003084	HOG:0003084	1.0	248.49637875239205	3123-presence
HOG:0003084	HOG:0003123	1.0	121.55033996725604	3123-presence
HOG:0003084	HOG:0003166	1.0	203.63530820445848	3123-presence
HOG:0003084	HOG:0003270	1.0	102.47732603691476	3123-presence
HOG:0003084	HOG:0003274	1.0	20.37764340593595	3123-presence
HOG:0003084	HOG:0003361	1.0	162.40626862186946	3123-presence
HOG:0003084	HOG:0003441	1.0	97.12969835136093	3123-presence
HOG:0003084	HOG:0003515	1.0	17.51519150598312	3123-presence
HOG:0003123	HOG:0002813	1.0	204.2340882701383	3123-presence
HOG:0003123	HOG:0002855	1.0	96.68529026662239	3123-presence
HOG:0003123	HOG:0003084	1.0	93.40512820054019	3123-presence
HOG:0003123	HOG:0003123	1.0	279.77387146097425	3123-presence
HOG:0003123	HOG:0003166	1.0	210.96988624316072	3123-presence
HOG:0003123	HOG:0003270	1.0	101.47146248416071	3123-presence
HOG:0003123	HOG:0003274	1.0	16.723789527428337	3123-presence
HOG:0003123	HOG:0003361	1.0	91.69847044224015	3123-presence
HOG:0003123	HOG:0003441	1.0	141.75271277161215	3123-presence
HOG:0003123	HOG:0003515	1.0	19.33151143735777	3123-presence
HOG:0003166	HOG:0002813	1.0	257.346418926994	3123-presence
HOG:0003166	HOG:0002855	1.0	158.4075986978291	3123-presence
HOG:0003166	HOG:0003084	1.0	99.41400996821483	3123-presence
HOG:0003166	HOG:0003123	1.0	131.13366712808826	3123-presence
HOG:0003166	HOG:0003166	1.0	379.29341194073226	3123-presence
HOG:0003166	HOG:0003270	1.0	102.47732603691476	3123-presence
HOG:0003166	HOG:0003274	1.0	16.022692703492538	3123-presence
HOG:0003166	HOG:0003361	1.0	87.42884917627195	3123-presence
HOG:0003166	HOG:0003441	1.0	105.3207709659294	3123-presence
HOG:0003166	HOG:0003515	1.0	20.27671976334254	3123-presence
HOG:0003270	HOG:0002813	1.0	177.40209058550937	3123-presence
HOG:0003270	HOG:0002855	1.0	85.04920936397006	3123-presence
HOG:0003270	HOG:0003084	1.0	85.04920936397006	3123-presence
HOG:0003270	HOG:0003123	1.0	111.08718420495302	3123-presence
HOG:0003270	HOG:0003166	1.0	180.72956989843644	3123-presence
HOG:0003270	HOG:0003270	1.0	166.20672508029637	3123-presence
HOG:0003270	HOG:0003274	1.0	15.336742672191324	3123-presence
HOG:0003270	HOG:0003361	1.0	85.04920936397006	3123-presence
HOG:0003270	HOG:0003441	1.0	85.04920936397006	3123-presence
HOG:0003270	HOG:0003515	1.0	15.336742672191324	3123-presence
HOG:0003274	HOG:0002813	1.0	184.3388131984035	3123-presence
HOG:0003274	HOG:0002855	1.0	88.22206244703926	3123-presence
HOG:0003274	HOG:0003084	1.0	113.00329525109936	3123-presence
HOG:0003274	HOG:0003123	1.0	121.55033996725604	3123-presence
HOG:0003274	HOG:0003166	1.0	187.79396437664238	3123-presence
HOG:0003274	HOG:0003270	1.0	102.47732603691476	3123-presence
HOG:0003274	HOG:0003274	1.0	45.42742511728136	3123-presence
HOG:0003274	HOG:0003361	1.0	109.15612926519341	3123-presence
HOG:0003274	HOG:0003441	1.0	97.12969835136093	3123-presence
HOG:0003274	HOG:0003515	1.0	17.515191505983115	3123-presence
HOG:0003361	HOG:0002813	1.0	183.28918270362823	3123-presence
HOG:0003361	HOG:0002855	1.0	88.22206244703926	3123-presence
HOG:0003361	HOG:0003084	1.0	214.35100739170667	3123-presence
HOG:0003361	HOG:0003123	1.0	119.77547697793536	3123-presence
HOG:0003361	HOG:0003166	1.0	184.29902961688921	3123-presence
HOG:0003361	HOG:0003270	1.0	102.47732603691476	3123-presence
HOG:0003361	HOG:0003274	1.0	19.683892162575862	3123-presence
HOG:0003361	HOG:0003361	1.0	142.16946414278706	3123-presence
HOG:0003361	HOG:0003441	1.0	95.08048745517362	3123-presence
HOG:0003361	HOG:0003515	1.0	17.145661672244422	3123-presence
HOG:0003441	HOG:0002813	1.0	194.47306449736357	3123-presence
HOG:0003441	HOG:0002855	1.0	88.22206244703926	3123-presence
HOG:0003441	HOG:0003084	1.0	97.12969835136093	3123-presence
HOG:0003441	HOG:0003123	1.0	171.83009761692134	3123-presence
HOG:0003441	HOG:0003166	1.0	212.4954497010304	3123-presence
HOG:0003441	HOG:0003270	1.0	102.47732603691476	3123-presence
HOG:0003441	HOG:0003274	1.0	17.51519150598312	3123-presence
HOG:0003441	HOG:0003361	1.0	95.08048745517362	3123-presence
HOG:0003441	HOG:0003441	1.0	186.79814680727242	3123-presence
HOG:0003441	HOG:0003515	1.0	20.534475416800372	3123-presence
HOG:0003515	HOG:0002813	1.0	211.4185978547736	3123-presence
HOG:0003515	HOG:0002855	1.0	103.96474592392995	3123-presence
HOG:0003515	HOG:0003084	1.0	97.12969835136093	3123-presence
HOG:0003515	HOG:0003123	1.0	136.23519752045448	3123-presence
HOG:0003515	HOG:0003166	1.0	219.61830651363684	3123-presence
HOG:0003515	HOG:0003270	1.0	102.47732603691476	3123-presence
HOG:0003515	HOG:0003274	1.0	17.515191505983115	3123-presence
HOG:0003515	HOG:0003361	1.0	95.08048745517362	3123-presence
HOG:0003515	HOG:0003441	1.0	113.87300003862025	3123-presence
HOG:0003515	HOG:0003515	1.0	22.576896757548624	3123-presence
HOG:0002813	HOG:0002813	1.0	406.85006704469754	3123-duplication-gain-presence
HOG:0002813	HOG:0002855	1.0	149.1071052063028	3123-duplication-gain-presence
HOG:0002813	HOG:0003084	1.0	120.14849837939002	3123-duplication-gain-presence
HOG:0002813	HOG:0003123	1.0	131.46246286273487	3123-duplication-gain-presence
HOG:0002813	HOG:0003166	1.0	231.6331668422012	3123-duplication-gain-presence
HOG:0002813	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0002813	HOG:0003274	1.0	16.079006621297225	3123-duplication-gain-presence
HOG:0002813	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0002813	HOG:0003441	1.0	108.52874097360676	3123-duplication-gain-presence
HOG:0002813	HOG:0003515	1.0	20.808444260147425	3123-duplication-gain-presence
HOG:0002855	HOG:0002813	1.0	289.61220372765854	3123-duplication-gain-presence
HOG:0002855	HOG:0002855	1.0	276.2849391444711	3123-duplication-gain-presence
HOG:0002855	HOG:0003084	1.0	88.22206244703926	3123-duplication-gain-presence
HOG:0002855	HOG:0003123	1.0	125.27666024917666	3123-duplication-gain-presence
HOG:0002855	HOG:0003166	1.0	286.91063457513377	3123-duplication-gain-presence
HOG:0002855	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0002855	HOG:0003274	1.0	15.908896506843146	3123-duplication-gain-presence
HOG:0002855	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0002855	HOG:0003441	1.0	88.22206244703926	3123-duplication-gain-presence
HOG:0002855	HOG:0003515	1.0	18.747741068249663	3123-duplication-gain-presence
HOG:0003084	HOG:0002813	1.0	211.88611921738766	3123-duplication-gain-presence
HOG:0003084	HOG:0002855	1.0	88.22206244703926	3123-duplication-gain-presence
HOG:0003084	HOG:0003084	1.0	248.49637875239205	3123-duplication-gain-presence
HOG:0003084	HOG:0003123	1.0	121.55033996725604	3123-duplication-gain-presence
HOG:0003084	HOG:0003166	1.0	203.63530820445848	3123-duplication-gain-presence
HOG:0003084	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003084	HOG:0003274	1.0	20.37764340593595	3123-duplication-gain-presence
HOG:0003084	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003084	HOG:0003441	1.0	97.12969835136093	3123-duplication-gain-presence
HOG:0003084	HOG:0003515	1.0	17.51519150598312	3123-duplication-gain-presence
HOG:0003123	HOG:0002813	1.0	204.2340882701383	3123-duplication-gain-presence
HOG:0003123	HOG:0002855	1.0	96.68529026662239	3123-duplication-gain-presence
HOG:0003123	HOG:0003084	1.0	93.40512820054019	3123-duplication-gain-presence
HOG:0003123	HOG:0003123	1.0	279.77387146097425	3123-duplication-gain-presence
HOG:0003123	HOG:0003166	1.0	210.96988624316072	3123-duplication-gain-presence
HOG:0003123	HOG:0003270	1.0	101.47146248416071	3123-duplication-gain-presence
HOG:0003123	HOG:0003274	1.0	16.723789527428337	3123-duplication-gain-presence
HOG:0003123	HOG:0003279	1.0	101.47146248416071	3123-duplication-gain-presence
HOG:0003123	HOG:0003441	1.0	141.75271277161215	3123-duplication-gain-presence
HOG:0003123	HOG:0003515	1.0	19.33151143735777	3123-duplication-gain-presence
HOG:0003166	HOG:0002813	1.0	257.346418926994	3123-duplication-gain-presence
HOG:0003166	HOG:0002855	1.0	158.4075986978291	3123-duplication-gain-presence
HOG:0003166	HOG:0003084	1.0	99.41400996821483	3123-duplication-gain-presence
HOG:0003166	HOG:0003123	1.0	131.13366712808826	3123-duplication-gain-presence
HOG:0003166	HOG:0003166	1.0	379.29341194073226	3123-duplication-gain-presence
HOG:0003166	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003166	HOG:0003274	1.0	16.022692703492538	3123-duplication-gain-presence
HOG:0003166	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003166	HOG:0003441	1.0	105.3207709659294	3123-duplication-gain-presence
HOG:0003166	HOG:0003515	1.0	20.27671976334254	3123-duplication-gain-presence
HOG:0003270	HOG:0002813	1.0	177.40209058550937	3123-duplication-gain-presence
HOG:0003270	HOG:0002855	1.0	85.04920936397006	3123-duplication-gain-presence
HOG:0003270	HOG:0003084	1.0	85.04920936397006	3123-duplication-gain-presence
HOG:0003270	HOG:0003123	1.0	111.08718420495302	3123-duplication-gain-presence
HOG:0003270	HOG:0003166	1.0	180.72956989843644	3123-duplication-gain-presence
HOG:0003270	HOG:0003270	1.0	166.20672508029637	3123-duplication-gain-presence
HOG:0003270	HOG:0003274	1.0	15.336742672191324	3123-duplication-gain-presence
HOG:0003270	HOG:0003279	1.0	166.20672508029637	3123-duplication-gain-presence
HOG:0003270	HOG:0003441	1.0	85.04920936397006	3123-duplication-gain-presence
HOG:0003270	HOG:0003515	1.0	15.336742672191324	3123-duplication-gain-presence
HOG:0003274	HOG:0002813	1.0	184.3388131984035	3123-duplication-gain-presence
HOG:0003274	HOG:0002855	1.0	88.22206244703926	3123-duplication-gain-presence
HOG:0003274	HOG:0003084	1.0	113.00329525109936	3123-duplication-gain-presence
HOG:0003274	HOG:0003123	1.0	121.55033996725604	3123-duplication-gain-presence
HOG:0003274	HOG:0003166	1.0	187.79396437664238	3123-duplication-gain-presence
HOG:0003274	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003274	HOG:0003274	1.0	45.42742511728136	3123-duplication-gain-presence
HOG:0003274	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003274	HOG:0003441	1.0	97.12969835136093	3123-duplication-gain-presence
HOG:0003274	HOG:0003515	1.0	17.515191505983115	3123-duplication-gain-presence
HOG:0003279	HOG:0002813	1.0	177.40209058550937	3123-duplication-gain-presence
HOG:0003279	HOG:0002855	1.0	85.04920936397006	3123-duplication-gain-presence
HOG:0003279	HOG:0003084	1.0	85.04920936397006	3123-duplication-gain-presence
HOG:0003279	HOG:0003123	1.0	111.08718420495302	3123-duplication-gain-presence
HOG:0003279	HOG:0003166	1.0	180.72956989843644	3123-duplication-gain-presence
HOG:0003279	HOG:0003270	1.0	166.20672508029637	3123-duplication-gain-presence
HOG:0003279	HOG:0003274	1.0	15.336742672191324	3123-duplication-gain-presence
HOG:0003279	HOG:0003279	1.0	166.20672508029637	3123-duplication-gain-presence
HOG:0003279	HOG:0003441	1.0	85.04920936397006	3123-duplication-gain-presence
HOG:0003279	HOG:0003515	1.0	15.336742672191324	3123-duplication-gain-presence
HOG:0003441	HOG:0002813	1.0	194.47306449736357	3123-duplication-gain-presence
HOG:0003441	HOG:0002855	1.0	88.22206244703926	3123-duplication-gain-presence
HOG:0003441	HOG:0003084	1.0	97.12969835136093	3123-duplication-gain-presence
HOG:0003441	HOG:0003123	1.0	171.83009761692134	3123-duplication-gain-presence
HOG:0003441	HOG:0003166	1.0	212.4954497010304	3123-duplication-gain-presence
HOG:0003441	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003441	HOG:0003274	1.0	17.51519150598312	3123-duplication-gain-presence
HOG:0003441	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003441	HOG:0003441	1.0	186.79814680727242	3123-duplication-gain-presence
HOG:0003441	HOG:0003515	1.0	20.534475416800372	3123-duplication-gain-presence
HOG:0003515	HOG:0002813	1.0	211.4185978547736	3123-duplication-gain-presence
HOG:0003515	HOG:0002855	1.0	103.96474592392995	3123-duplication-gain-presence
HOG:0003515	HOG:0003084	1.0	97.12969835136093	3123-duplication-gain-presence
HOG:0003515	HOG:0003123	1.0	136.23519752045448	3123-duplication-gain-presence
HOG:0003515	HOG:0003166	1.0	219.61830651363684	3123-duplication-gain-presence
HOG:0003515	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003515	HOG:0003274	1.0	17.515191505983115	3123-duplication-gain-presence
HOG:0003515	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-presence
HOG:0003515	HOG:0003441	1.0	113.87300003862025	3123-duplication-gain-presence
HOG:0003515	HOG:0003515	1.0	22.576896757548624	3123-duplication-gain-presence
HOG:0002813	HOG:0002813	1.0	406.85006704469754	3123-duplication-loss-presence
HOG:0002813	HOG:0002855	1.0	149.1071052063028	3123-duplication-loss-presence
HOG:0002813	HOG:0003084	1.0	120.14849837939002	3123-duplication-loss-presence
HOG:0002813	HOG:0003123	1.0	131.46246286273487	3123-duplication-loss-presence
HOG:0002813	HOG:0003166	1.0	231.6331668422012	3123-duplication-loss-presence
HOG:0002813	HOG:0003270	1.0	102.47732603691476	3123-duplication-loss-presence
HOG:0002813	HOG:0003274	1.0	16.079006621297225	3123-duplication-loss-presence
HOG:0002813	HOG:0003361	1.0	88.22085841960944	3123-duplication-loss-presence
HOG:0002813	HOG:0003441	1.0	108.52874097360676	3123-duplication-loss-presence
HOG:0002813	HOG:0003515	1.0	20.808444260147425	3123-duplication-loss-presence
HOG:0002855	HOG:0002813	1.0	289.61220372765854	3123-duplication-loss-presence
HOG:0002855	HOG:0002855	1.0	276.2849391444711	3123-duplication-loss-presence
HOG:0002855	HOG:0003084	1.0	88.22206244703926	3123-duplication-loss-presence
HOG:0002855	HOG:0003123	1.0	125.27666024917666	3123-duplication-loss-presence
HOG:0002855	HOG:0003166	1.0	286.91063457513377	3123-duplication-loss-presence
HOG:0002855	HOG:0003270	1.0	102.47732603691476	3123-duplication-loss-presence
HOG:0002855	HOG:0003274	1.0	15.908896506843146	3123-duplication-loss-presence
HOG:0002855	HOG:0003361	1.0	88.22206244703926	3123-duplication-loss-presence
HOG:0002855	HOG:0003441	1.0	88.22206244703926	3123-duplication-loss-presence
HOG:0002855	HOG:0003515	1.0	18.747741068249663	3123-duplication-loss-presence
HOG:0003084	HOG:0002813	1.0	211.88611921738766	3123-duplication-loss-presence
HOG:0003084	HOG:0002855	1.0	88.22206244703926	3123-duplication-loss-presence
HOG:0003084	HOG:0003084	1.0	248.49637875239205	3123-duplication-loss-presence
HOG:0003084	HOG:0003123	1.0	121.55033996725604	3123-duplication-loss-presence
HOG:0003084	HOG:0003166	1.0	203.63530820445848	3123-duplication-loss-presence
HOG:0003084	HOG:0003270	1.0	102.47732603691476	3123-duplication-loss-presence
HOG:0003084	HOG:0003274	1.0	20.37764340593595	3123-duplication-loss-presence
HOG:0003084	HOG:0003361	1.0	162.40626862186946	3123-duplication-loss-presence
HOG:0003084	HOG:0003441	1.0	97.12969835136093	3123-duplication-loss-presence
HOG:0003084	HOG:0003515	1.0	17.51519150598312	3123-duplication-loss-presence
HOG:0003123	HOG:0002813	1.0	204.2340882701383	3123-duplication-loss-presence
HOG:0003123	HOG:0002855	1.0	96.68529026662239	3123-duplication-loss-presence
HOG:0003123	HOG:0003084	1.0	93.40512820054019	3123-duplication-loss-presence
HOG:0003123	HOG:0003123	1.0	279.77387146097425	3123-duplication-loss-presence
HOG:0003123	HOG:0003166	1.0	210.96988624316072	3123-duplication-loss-presence
HOG:0003123	HOG:0003270	1.0	101.47146248416071	3123-duplication-loss-presence
HOG:0003123	HOG:0003274	1.0	16.723789527428337	3123-duplication-loss-presence
HOG:0003123	HOG:0003361	1.0	91.69847044224015	3123-duplication-loss-presence
HOG:0003123	HOG:0003441	1.0	141.75271277161215	3123-duplication-loss-presence
HOG:0003123	HOG:0003515	1.0	19.33151143735777	3123-duplication-loss-presence
HOG:0003166	HOG:0002813	1.0	257.346418926994	3123-duplication-loss-presence
HOG:0003166	HOG:0002855	1.0	158.4075986978291	3123-duplication-loss-presence
HOG:0003166	HOG:0003084	1.0	99.41400996821483	3123-duplication-loss-presence
HOG:0003166	HOG:0003123	1.0	131.13366712808826	3123-duplication-loss-presence
HOG:0003166	HOG:0003166	1.0	379.29341194073226	3123-duplication-loss-presence
HOG:0003166	HOG:0003270	1.0	102.47732603691476	3123-duplication-loss-presence
HOG:0003166	HOG:0003274	1.0	16.022692703492538	3123-duplication-loss-presence
HOG:0003166	HOG:0003361	1.0	87.42884917627195	3123-duplication-loss-presence
HOG:0003166	HOG:0003441	1.0	105.3207709659294	3123-duplication-loss-presence
HOG:0003166	HOG:0003515	1.0	20.27671976334254	3123-duplication-loss-presence
HOG:0003270	HOG:0002813	1.0	177.40209058550937	3123-duplication-loss-presence
HOG:0003270	HOG:0002855	1.0	85.04920936397006	3123-duplication-loss-presence
HOG:0003270	HOG:0003084	1.0	85.04920936397006	3123-duplication-loss-presence
HOG:0003270	HOG:0003123	1.0	111.08718420495302	3123-duplication-loss-presence
HOG:0003270	HOG:0003166	1.0	180.72956989843644	3123-duplication-loss-presence
HOG:0003270	HOG:0003270	1.0	166.20672508029637	3123-duplication-loss-presence
HOG:0003270	HOG:0003274	1.0	15.336742672191324	3123-duplication-loss-presence
HOG:0003270	HOG:0003361	1.0	85.04920936397006	3123-duplication-loss-presence
HOG:0003270	HOG:0003441	1.0	85.04920936397006	3123-duplication-loss-presence
HOG:0003270	HOG:0003515	1.0	15.336742672191324	3123-duplication-loss-presence
HOG:0003274	HOG:0002813	1.0	184.3388131984035	3123-duplication-loss-presence
HOG:0003274	HOG:0002855	1.0	88.22206244703926	3123-duplication-loss-presence
HOG:0003274	HOG:0003084	1.0	113.00329525109936	3123-duplication-loss-presence
HOG:0003274	HOG:0003123	1.0	121.55033996725604	3123-duplication-loss-presence
HOG:0003274	HOG:0003166	1.0	187.79396437664238	3123-duplication-loss-presence
HOG:0003274	HOG:0003270	1.0	102.47732603691476	3123-duplication-loss-presence
HOG:0003274	HOG:0003274	1.0	45.42742511728136	3123-duplication-loss-presence
HOG:0003274	HOG:0003361	1.0	109.15612926519341	3123-duplication-loss-presence
HOG:0003274	HOG:0003441	1.0	97.12969835136093	3123-duplication-loss-presence
HOG:0003274	HOG:0003515	1.0	17.515191505983115	3123-duplication-loss-presence
HOG:0003361	HOG:0002813	1.0	183.28918270362823	3123-duplication-loss-presence
HOG:0003361	HOG:0002855	1.0	88.22206244703926	3123-duplication-loss-presence
HOG:0003361	HOG:0003084	1.0	214.35100739170667	3123-duplication-loss-presence
HOG:0003361	HOG:0003123	1.0	119.77547697793536	3123-duplication-loss-presence
HOG:0003361	HOG:0003166	1.0	184.29902961688921	3123-duplication-loss-presence
HOG:0003361	HOG:0003270	1.0	102.47732603691476	3123-duplication-loss-presence
HOG:0003361	HOG:0003274	1.0	19.683892162575862	3123-duplication-loss-presence
HOG:0003361	HOG:0003361	1.0	142.16946414278706	3123-duplication-loss-presence
HOG:0003361	HOG:0003441	1.0	95.08048745517362	3123-duplication-loss-presence
HOG:0003361	HOG:0003515	1.0	17.145661672244422	3123-duplication-loss-presence
HOG:0003441	HOG:0002813	1.0	194.47306449736357	3123-duplication-loss-presence
HOG:0003441	HOG:0002855	1.0	88.22206244703926	3123-duplication-loss-presence
HOG:0003441	HOG:0003084	1.0	97.12969835136093	3123-duplication-loss-presence
HOG:0003441	HOG:0003123	1.0	171.83009761692134	3123-duplication-loss-presence
HOG:0003441	HOG:0003166	1.0	212.4954497010304	3123-duplication-loss-presence
HOG:0003441	HOG:0003270	1.0	102.47732603691476	3123-duplication-loss-presence
HOG:0003441	HOG:0003274	1.0	17.51519150598312	3123-duplication-loss-presence
HOG:0003441	HOG:0003361	1.0	95.08048745517362	3123-duplication-loss-presence
HOG:0003441	HOG:0003441	1.0	186.79814680727242	3123-duplication-loss-presence
HOG:0003441	HOG:0003515	1.0	20.534475416800372	3123-duplication-loss-presence
HOG:0003515	HOG:0002813	1.0	211.4185978547736	3123-duplication-loss-presence
HOG:0003515	HOG:0002855	1.0	103.96474592392995	3123-duplication-loss-presence
HOG:0003515	HOG:0003084	1.0	97.12969835136093	3123-duplication-loss-presence
HOG:0003515	HOG:0003123	1.0	136.23519752045448	3123-duplication-loss-presence
HOG:0003515	HOG:0003166	1.0	219.61830651363684	3123-duplication-loss-presence
HOG:0003515	HOG:0003270	1.0	102.47732603691476	3123-duplication-loss-presence
HOG:0003515	HOG:0003274	1.0	17.515191505983115	3123-duplication-loss-presence
HOG:0003515	HOG:0003361	1.0	95.08048745517362	3123-duplication-loss-presence
HOG:0003515	HOG:0003441	1.0	113.87300003862025	3123-duplication-loss-presence
HOG:0003515	HOG:0003515	1.0	22.576896757548624	3123-duplication-loss-presence
HOG:0002813	HOG:0002813	1.0	406.85006704469754	3123-gain-loss-presence
HOG:0002813	HOG:0002855	1.0	149.1071052063028	3123-gain-loss-presence
HOG:0002813	HOG:0003084	1.0	120.14849837939002	3123-gain-loss-presence
HOG:0002813	HOG:0003123	1.0	131.46246286273487	3123-gain-loss-presence
HOG:0002813	HOG:0003166	1.0	231.6331668422012	3123-gain-loss-presence
HOG:0002813	HOG:0003270	1.0	102.47732603691476	3123-gain-loss-presence
HOG:0002813	HOG:0003274	1.0	16.079006621297225	3123-gain-loss-presence
HOG:0002813	HOG:0003279	1.0	102.47732603691476	3123-gain-loss-presence
HOG:0002813	HOG:0003441	1.0	108.52874097360676	3123-gain-loss-presence
HOG:0002813	HOG:0003515	1.0	20.808444260147425	3123-gain-loss-presence
HOG:0002855	HOG:0002813	1.0	289.61220372765854	3123-gain-loss-presence
HOG:0002855	HOG:0002855	1.0	276.2849391444711	3123-gain-loss-presence
HOG:0002855	HOG:0003084	1.0	88.22206244703926	3123-gain-loss-presence
